"resultNumber","lemma","senseNumber","snippet"
"1","al","A.1.0",""
"2","allebei","",""
"3","alleman","1.0",""
"4","allerlei","",""
"5","alles","",""
"6","beide","1.0",""
"7","beidjes","1.0",""
"8","datgene","0.0",""
"9","datzelfde","0.0",""
"10","degene","0.0",""
"11","deze","1.0",""
"12","dezelfde","1.0",""
"13","diegene","0.0",""
"14","diezelfde","0.0",""
"15","dit","0.0",""
"16","diverse","1.0","verscheidene"
"17","dusdanig","1.0",""
"18","e.e.a.","1.0","een en ander"
"19","een","B.1.0",""
"20","een en ander","1.0","zaken zoals het genoemde"
"21","eenieder","1.0",""
"22","eenzelfde","0.0",""
"23","elk","1.0",""
"24","elkaar","",""
"25","enkel","",""
"26","evenveel","1.0",""
"27","geen","1.0",""
"28","geen sikkepit","1.0","helemaal niets"
"29","genoeg","",""
"30","gij","",""
"31","het/Als onbepaald voornaamwoord","",""
"32","het/Als onbepaald voornaamwoord","",""
"33","hetgeen","1.0",""
"34","hetzelfde","0.0",""
"35","hij","1.0",""
"36","hijzelf","1.0",""
"37","hoedanig","0.0",""
"38","hoeveel","1.0",""
"39","ieder","1.0",""
"40","iedereen","1.0",""
"41","iemand","1.0",""
"42","iet","0.0",""
"43","iets","1.0",""
"44","ik","A.1.0",""
"45","ikzelf","1.0",""
"46","Jan, Piet en Kees","1.0","iedereen"
"47","Jan, Piet en Klaas","1.0","iedereen"
"48","Jan en alleman","1.0","iedereen"
"49","jij","",""
"50","jouw","",""
"51","jullie","",""
"52","jullie","",""
"53","meerdere","B.1.0","verscheidene"
"54","mekaar","1.0",""
"55","men","1.0",""
"56","menig","1.0","aardig wat"
"57","mezelf","",""
"58","mijn","",""
"59","mijzelf","",""
"60","m'n","",""
"61","niemand","1.0",""
"62","niks","1.0",""
"63","onszelf","1.0",""
"64","rien de knots","1.0","helemaal niks"
"65","sommig","1.0",""
"66","u/U","B.1.0",""
"67","uw","1.0",""
"68","uzelf","",""
"69","veel","",""
"70","verscheidene","1.0","diverse"
"71","verschillende","1.0","verscheidene"
"72","w.v.t.t.k.","1.0","wat verder ter tafel komt"
"73","we","",""
"74","what the fuck","2.0","wat in hemelsnaam"
"75","wie","1.0",""
"76","wij","1.0",""
"77","ze","",""
"78","zelf","1.0",""
"79","zich","1.0",""
"80","zichzelf","1.0",""
"81","zij","",""
"82","zijn","",""
"83","zodanig","1.0",""
"84","zoiets","0.0",""
"85","zo'n","1.0",""
"86","zoveel","",""
"87","zulk","1.0",""
