verb,past,suffix,direct object category,frequency,reference
adviseren,adviseerde,aan,stofnaam;verzamelnaam,0.0000309,"(Colleman, 2009)"
beletten,belette,aan,abstract;zaaknaam,0.00000881,"(Colleman, 2009)"
beloven,beloofde,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.000087,"(Chen & Hartsuiker, 2023)"
betalen,betaalde,aan,stofnaam;zaaknaam,0.000322,"(Hartsuiker & Kolk, 1998)"
bezorgen,bezorgde,aan,stofnaam;verzamelnaam,0.0000369,"(Chen & Hartsuiker, 2023)"
brengen,bracht,aan,stofnaam;verzamelnaam,0.000633,"(Chen & Hartsuiker, 2023)"
geven,gaf,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.00109,"(Hartsuiker & Kolk, 1998)"
garanderen,garandeerde,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.0000358,"(Colleman, 2009)"
gooien,gooide,naar,abstract;stofnaam;verzamelnaam;zaaknaam,0.0000981,"(Chen & Hartsuiker, 2023)"
gunnen,gunde,aan,abstract;stofnaam;zaaknaam,0.0000281,"(Chen & Hartsuiker, 2023)"
kopen,kocht,voor,stofnaam;zaaknaam,0.000207,"(Chen & Hartsuiker, 2023)"
kosten,kostte,aan,abstract;stofnaam,0.000165,"(Colleman, 2009)"
lenen,leende,aan,stofnaam;verzamelnaam;zaaknaam,0.0000294,"(Chen & Hartsuiker, 2023)"
leren,leerde,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.000264,"(Colleman, 2009)"
leveren,leverde,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.000212,"(Chen & Hartsuiker, 2023)"
onthouden,onthield,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.000019,"(Colleman, 2009)"
ontnemen,ontnam,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.00000906,"(Colleman, 2009)"
ontzeggen,ontzei,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.00000581,"(Colleman, 2009)"
overhandigen,overhandigde,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.0000209,"(Hartsuiker & Kolk, 1998)"
schenken,schonk,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.0000429,"(Chen & Hartsuiker, 2023)"
schrijven,schreef,aan,abstract,0.000434,"(Hartsuiker & Kolk, 1998)"
sturen,stuurde,naar,abstract;stofnaam;verzamelnaam;zaaknaam,0.000179,"(Chen & Hartsuiker, 2023)"
tonen,toonde,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.000227,"(Chen & Hartsuiker, 2023)"
verbieden,verbood,aan,abstract;stofnaam;zaaknaam,0.0000748,"(Colleman, 2009)"
verhinderen,verhinderde,aan,abstract;verzamelnaam;zaaknaam,0.0000154,"(Colleman, 2009)"
verhuren,verhuurde,aan,stofnaam;verzamelnaam;zaaknaam,0.0000185,"(Hartsuiker & Kolk, 1998)"
verklaren,verklaarde,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.000149,"(Colleman, 2009)"
verkopen,verkocht,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.000205,"(Hartsuiker & Kolk, 1998)"
verlenen,verleende,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.0000342,"(Colleman, 2009)"
versturen,verstuurde,naar,stofnaam;verzamelnaam;zaaknaam,0.0000158,"(Chen & Hartsuiker, 2023)"
vertellen,vertelde,aan,abstract,0.000479,"(Hartsuiker & Kolk, 1998)"
verwijten,verweet,aan,abstract;zaaknaam,0.0000302,"(Colleman, 2009)"
verzekeren,verzekerde,aan,abstract;stofnaam;zaaknaam,0.0000491,"(Colleman, 2009)"
verzoeken,verzocht,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.0000125,"(Colleman, 2009)"
vragen,vroeg,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.000593,"(Hartsuiker & Kolk, 1998)"
wijzen,wees,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.000186,"(Colleman, 2009)"
weigeren,weigerde,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.0000876,"(Colleman, 2009)"
wensen,wenste,aan,abstract;stofnaam,0.0000453,"(Colleman, 2009)"
zeggen,zei,tegen,abstract,0.00275,"(Colleman, 2009)"
zenden,zond,aan,abstract;stofnaam;verzamelnaam;zaaknaam,0.0000145,"(Chen & Hartsuiker, 2023)"
